id,uid,lang,author_uid,file_path
fr_mn146_leninan,mn146,fr,leninan,
fr_mn122_leninan,mn122,fr,leninan,
en_sa267_patton,sa267,en,patton,
fr_mn126_leninan,mn126,fr,leninan,
fr_mn13_leninan,mn13,fr,leninan,
kp2_translation-pt-laera-quaresma,kp2,pt,laera,
kp5_translation-pt-laera-quaresma,kp5,pt,laera,
en_ma29_patton,ma29,en,patton,
fr_mn110_leninan,mn110,fr,leninan,
en_sa385_patton,sa385,en,patton,
en_sa199_patton,sa199,en,patton,
en_sa287_patton,sa287,en,patton,
en_sa289_patton,sa289,en,patton,
en_sa386_patton,sa386,en,patton,
fr_dn15_leninan,dn15,fr,leninan,
fr_mn61_leninan,mn61,fr,leninan,
en_sa195_patton,sa195,en,patton,
fr_mn82_leninan,mn82,fr,leninan,
en_sa272_patton,sa272,en,patton,
kp6_translation-pt-laera-quaresma,kp6,pt,laera,
mn64_translation-de-sabbamitta,mn64,de,sabbamitta,
fr_mn93_leninan,mn93,fr,leninan,
en_sa285_patton,sa285,en,patton,
fr_mn118_leninan,mn118,fr,leninan,
en_sa197_patton,sa197,en,patton,
en_sa288_patton,sa288,en,patton,
en_sa194_patton,sa194,en,patton,
en_sa193_patton,sa193,en,patton,
fr_mn136_leninan,mn136,fr,leninan,
fr_mn45_leninan,mn45,fr,leninan,
fr_mn135_leninan,mn135,fr,leninan,
en_sa1329_patton,sa1329,en,patton,
en_sa61_patton,sa61,en,patton,
fr_mn97_leninan,mn97,fr,leninan,
fr_mn143_leninan,mn143,fr,leninan,
fr_mn20_leninan,mn20,fr,leninan,
fr_mn130_leninan,mn130,fr,leninan,
fr_mn152_leninan,mn152,fr,leninan,
en_sa110_patton,sa110,en,patton,
fr_dn23_leninan,dn23,fr,leninan,
kp8_translation-pt-laera-quaresma,kp8,pt,laera,
fr_mn119_leninan,mn119,fr,leninan,
en_sa268_patton,sa268,en,patton,
en_sa60_patton,sa60,en,patton,
fr_mn14_leninan,mn14,fr,leninan,
en_sa269_patton,sa269,en,patton,
fr_mn9_leninan,mn9,fr,leninan,
fr_mn109_leninan,mn109,fr,leninan,
en_sa387_patton,sa387,en,patton,
mn67_translation-de-sabbamitta,mn67,de,sabbamitta,
fr_mn108_leninan,mn108,fr,leninan,
en_sa200_patton,sa200,en,patton,
fr_mn140_leninan,mn140,fr,leninan,
en_sa196_patton,sa196,en,patton,
kp1_translation-pt-laera-quaresma,kp1,pt,laera,
fr_mn58_leninan,mn58,fr,leninan,
en_sa286_patton,sa286,en,patton,
fr_mn128_leninan,mn128,fr,leninan,
fr_mn22_leninan,mn22,fr,leninan,
fr_mn121_leninan,mn121,fr,leninan,
fr_mn19_leninan,mn19,fr,leninan,
kp7_translation-pt-laera-quaresma,kp7,pt,laera,
kp9_translation-pt-laera-quaresma,kp9,pt,laera,
kp3_translation-pt-laera-quaresma,kp3,pt,laera,
fr_mn7_leninan,mn7,fr,leninan,
en_sa59_patton,sa59,en,patton,
en_sa381_patton,sa381,en,patton,
fr_mn131_leninan,mn131,fr,leninan,
fr_dn22_leninan,dn22,fr,leninan,
fr_mn87_leninan,mn87,fr,leninan,
fr_mn26_leninan,mn26,fr,leninan,
mn65_translation-de-sabbamitta,mn65,de,sabbamitta,
en_sa198_patton,sa198,en,patton,
fr_mn63_leninan,mn63,fr,leninan,
kp4_translation-pt-laera-quaresma,kp4,pt,laera,
en_sa383_patton,sa383,en,patton,
en_sa265_patton,sa265,en,patton,
fr_mn105_leninan,mn105,fr,leninan,
fr_mn35_leninan,mn35,fr,leninan,
fr_mn18_leninan,mn18,fr,leninan,
en_sa271_patton,sa271,en,patton,
en_sa382_patton,sa382,en,patton,
en_sa388_patton,sa388,en,patton,
en_sa201_patton,sa201,en,patton,
an2.1-10_translation-pt-laera-quaresma,an2.1-10,pt,laera,
en_sa380_patton,sa380,en,patton,
en_sa389_patton,sa389,en,patton,
mn66_translation-de-sabbamitta,mn66,de,sabbamitta,
en_sa384_patton,sa384,en,patton,
